words,proportion
hair,1.0
dryer,0.9963614311704063
not,0.3566471262044337
great,0.3404083282797655
so,0.29782359679266895
very,0.261707432113739
s,0.25712553062462096
love,0.22033555690317363
use,0.20847651775486828
work,0.2033555690317364
good,0.20301866451047773
like,0.1952698605215282
product,0.19405700424499697
blow,0.166835118927296
just,0.16629607169328212
dry,0.1625901219594367
time,0.15982750488511555
than,0.15794083956606697
ha,0.15612155515127013
Star,0.152078700896166
be,0.15039417828987264
would,0.1503267973856209
get,0.14190418435415403
year,0.1359072838757496
out,0.13543561754598746
setting,0.1347618085034701
when,0.13408799946095276
well,0.13071895424836602
used,0.12593491004649282
cord,0.12539586281247894
me,0.12505895829122027
if,0.12168991307863351
can,0.11717539249376727
really,0.11710801158951553
only,0.11576039350448084
heat,0.11448015632369786
after,0.11434539451519439
does,0.11151539653662153
all,0.11036992116434202
about,0.11030254026009029
too,0.11016777845158682
are,0.1091570648878108
price,0.10794420861127957
or,0.10659659052624486
other,0.10538373424971363
no,0.10430563978168587
hot,0.1039687352604272
more,0.10356444983491679
hairdryer,0.10309278350515463
because,0.1030254026009029
bought,0.10194730813287514
much,0.1001280237180783
long,0.09958897648406441
up,0.09621993127147767
your,0.09500707499494643
Five,0.09433326595242908
will,0.09251398153763224
little,0.09082945893133886
don,0.0899535071760663
from,0.08752779462300384
which,0.08564112930395526
air,0.08550636749545179
what,0.08543898659120006
also,0.08503470116568965
ve,0.08442827302742403
nice,0.08092446600633381
m,0.08078970419783034
drying,0.07971160972980257
am,0.07950946701704736
dries,0.07883565797453002
using,0.077824944410754
best,0.07715113536823665
powerful,0.07614042180446061
off,0.07533185095343979
buy,0.07472542281517418
light,0.07445589919816724
make,0.07357994744289469
month,0.07357994744289469
do,0.07317566201738428
high,0.07277137659187387
easy,0.07162590121959436
power,0.07095209217707701
old,0.07088471127282528
recommend,0.06933495047503538
last,0.06744828515598679
now,0.06677447611346944
its,0.06522471531567954
first,0.06360757361363789
she,0.06340543090088269
doesn,0.0624620982413584
Conair,0.06205781281584799
take,0.061990431911596255
still,0.061720908294589316
there,0.061518765581834105
we,0.06017114749679941
button,0.060103766592547674
even,0.05942995755003032
fast,0.05929519574152685
did,0.059093053028771644
been,0.059093053028771644
travel,0.058958291220268175
better,0.05821710127349909
need,0.05788019675224042
quickly,0.05740853042247827
speed,0.0572737686139748
back,0.05619567414594704
review,0.055993531433191836
two,0.05545448419917795
cool,0.05505019877366754
low,0.05464591334815713
thick,0.05376996159288458
small,0.053230914358870694
look,0.052961390741863755
heavy,0.052826628933360285
ever,0.052557105316353346
lot,0.05235496260359814
any,0.05174853446533252
day,0.05161377265682905
thing,0.05154639175257732
how,0.05141162994407385
way,0.05100734451856344
purchased,0.05100734451856344
while,0.05087258271005997
perfect,0.050535678188801295
attachment,0.050535678188801295
got,0.05033353547604609
fine,0.050266154571794355
job,0.049524964625025265
by,0.04905329829526312
enough,0.048244727444242304
over,0.047975203827235365
happy,0.047368775688969744
new,0.047234013880466275
quiet,0.047099252071962805
didn,0.04703187116771107
wall,0.046964490263459335
handle,0.046829728454955866
minute,0.04642544302944546
feel,0.04629068122094199
quality,0.04527996765716596
less,0.044673539518900345
same,0.044673539518900345
Amazon,0.044269254093389936
seem,0.0442018731891382
could,0.043528064146620846
another,0.04298901691260697
her,0.04292163600835523
some,0.04244996967859309
purchase,0.042382588774341354
before,0.0419109224445792
money,0.041708779731824
since,0.04157401792332053
then,0.04130449430631359
far,0.040967589785054916
never,0.040967589785054916
weight,0.04076544707229971
size,0.04063068526379624
without,0.04063068526379624
looking,0.04022639983828583
model,0.03988949531702715
bit,0.038946162657502864
worth,0.03887878175325113
say,0.038676639040495925
working,0.038407115423488986
them,0.038137591806482046
pretty,0.03746378276396469
every,0.03732902095546122
come,0.03732902095546122
wife,0.03726164005120949
problem,0.03726164005120949
worked,0.03719425914695775
few,0.03699211643420255
find,0.03692473552995081
think,0.03672259281719561
Excellent,0.036520450104440404
again,0.0363183073916852
retractable,0.03618354558318173
want,0.03598140287042652
diffuser,0.03584664106192305
unit,0.03436426116838488
longer,0.03436426116838488
feature,0.03429688026413315
hand,0.03422949935988141
bathroom,0.0340273566471262
right,0.03395997574287447
down,0.03389259483862273
hold,0.03362307122161579
compact,0.033218785796105384
these,0.032410214945084566
most,0.032275453136581096
three,0.031938548615322415
keep,0.031669024998315476
item,0.031129977764301597
definitely,0.03065831143453945
curly,0.030590930530287715
go,0.030321406913280776
made,0.030186645104777306
home,0.030051883296273837
loud,0.030051883296273837
However,0.029917121487770367
switch,0.029849740583518632
week,0.029647597870763424
color,0.029512836062259955
put,0.02931069334950475
thought,0.029243312445253015
found,0.02917593154100128
give,0.028839027019742607
short,0.02877164611549087
wanted,0.02877164611549087
second,0.0286368843069874
frizz,0.02850212249848393
lightweight,0.02850212249848393
alway,0.028434741594232194
were,0.028165217977225255
know,0.028030456168721785
super,0.027760932551714843
many,0.027558789838959638
different,0.027558789838959638
half,0.02701974260494576
hotel,0.02701974260494576
into,0.02701974260494576
going,0.02681759989219055
highly,0.026750218987938817
big,0.026682838083687082
owned,0.026345933562428408
Four,0.026345933562428408
though,0.026143790849673203
style,0.02587426723266626
strong,0.02573950542416279
should,0.02560474361565932
actually,0.025267839094400647
fit,0.025133077285897178
ionic,0.025065696381645443
Andis,0.0247961727646385
professional,0.0247961727646385
daughter,0.0247961727646385
turn,0.02439188733912809
our,0.024324506434876356
sure,0.02425712553062462
cheap,0.024122363722121152
lasted,0.023920221009365944
something,0.023920221009365944
away,0.023920221009365944
ordered,0.02385284010511421
faster,0.02385284010511421
brand,0.02385284010511421
loved,0.023785459200862474
quite,0.023650697392359005
awesome,0.023650697392359005
ago,0.023515935583855535
came,0.0234485546796038
head,0.023381173775352065
who,0.023381173775352065
cold,0.023111650158345126
hard,0.023111650158345126
done,0.022976888349841657
around,0.022976888349841657
amazing,0.022976888349841657
salon,0.022842126541338183
almost,0.02277474563708645
see,0.022707364732834714
tried,0.02263998382858298
medium,0.02250522202007951
leave,0.022168317498820835
smooth,0.022033555690317366
control,0.022033555690317366
warm,0.021898793881813892
frizzy,0.021764032073310423
wish,0.021764032073310423
expensive,0.021696651169058688
brush,0.021696651169058688
dried,0.02156188936055522
replace,0.02156188936055522
both,0.021494508456303484
straight,0.021494508456303484
store,0.02142712755205175
d,0.021359746647800014
expected,0.021359746647800014
being,0.02115760393504481
end,0.02115760393504481
issue,0.02115760393504481
needed,0.021090223030793075
having,0.020820699413786132
where,0.020685937605282662
try,0.020685937605282662
took,0.020618556701030927
started,0.020618556701030927
getting,0.020551175796779193
watt,0.020551175796779193
broke,0.020551175796779193
bad,0.020416413988275723
disappointed,0.020416413988275723
temperature,0.020349033084023988
soft,0.020281652179772253
several,0.02021427127552052
shot,0.02021427127552052
died,0.020146890371268784
said,0.020146890371268784
night,0.019944747658513576
mount,0.01987736675426184
fan,0.019809985850010106
plug,0.019809985850010106
easily,0.019809985850010106
stopped,0.01974260494575837
once,0.019675224041506637
difference,0.0196078431372549
Overall,0.019473081328751432
ll,0.019473081328751432
their,0.019338319520247962
previous,0.019203557711744493
ceramic,0.019068795903241023
design,0.019068795903241023
warranty,0.01866451047773061
blowdryer,0.018462367764975406
liked,0.018327605956471937
exactly,0.018260225052220202
received,0.018260225052220202
finally,0.018125463243716732
return,0.018125463243716732
cut,0.018058082339464994
length,0.018058082339464994
decided,0.017923320530961524
replacement,0.017923320530961524
isn,0.017788558722458055
went,0.017653796913954585
pleased,0.017519035105451115
until,0.017519035105451115
plus,0.017384273296947646
quick,0.017249511488444176
re,0.017114749679940706
flat,0.016979987871437233
ok,0.016979987871437233
Thank,0.0169126069671855
won,0.01677784515868203
noise,0.016710464254430294
voltage,0.016710464254430294
mine,0.01664308335017856
complaint,0.01664308335017856
people,0.016575702445926824
buying,0.016575702445926824
through,0.01650832154167509
help,0.01650832154167509
bonnet,0.01650832154167509
yet,0.016440940637423355
value,0.016171417020416416
space,0.016171417020416416
able,0.016171417020416416
styling,0.016104036116164677
reason,0.016036655211912942
plastic,0.015969274307661208
option,0.015901893403409473
such,0.015834512499157738
T3,0.015834512499157738
may,0.01569975069065427
stay,0.01569975069065427
Pro,0.015564988882150799
shiny,0.015430227073647329
smell,0.015430227073647329
set,0.015430227073647329
anyone,0.015362846169395592
read,0.015228084360892123
fold,0.015228084360892123
place,0.015160703456640388
couple,0.014958560743885184
quieter,0.014958560743885184
anything,0.014958560743885184
result,0.014958560743885184
blower,0.014891179839633447
ion,0.014756418031129977
recommended,0.014756418031129977
maybe,0.014756418031129977
probably,0.014621656222626508
own,0.014486894414123038
full,0.014352132605619567
gave,0.014352132605619567
box,0.014352132605619567
part,0.014352132605619567
why,0.014352132605619567
side,0.014284751701367832
completely,0.014284751701367832
flow,0.014284751701367832
gift,0.014082608988612627
deal,0.014082608988612627
past,0.014015228084360893
iron,0.014015228084360893
nothing,0.013813085371605686
extremely,0.013813085371605686
under,0.013745704467353952
change,0.013745704467353952
ones,0.013745704467353952
usually,0.013543561754598747
curl,0.013543561754598747
Revlon,0.013476180850347012
Remington,0.013476180850347012
heavier,0.013476180850347012
motor,0.013408799946095276
especially,0.013408799946095276
wouldn,0.013408799946095276
those,0.013341419041843541
concentrator,0.013341419041843541
retract,0.013341419041843541
nozzle,0.013274038137591806
glad,0.013206657233340071
myself,0.013139276329088337
top,0.013071895424836602
cost,0.013071895424836602
morning,0.013004514520584867
might,0.01293713361633313
absolutely,0.01293713361633313
here,0.01293713361633313
least,0.012734990903577926
perfectly,0.012667609999326191
wonderful,0.012667609999326191
drier,0.012600229095074456
noisy,0.012532848190822721
mounted,0.012532848190822721
blowing,0.012465467286570987
order,0.012465467286570987
everything,0.012465467286570987
must,0.01239808638231925
friend,0.01239808638231925
extra,0.012330705478067515
traveling,0.012330705478067515
couldn,0.01226332457381578
convenient,0.012195943669564046
looked,0.01212856276531231
folding,0.01212856276531231
arrived,0.01212856276531231
volume,0.012061181861060576
piece,0.012061181861060576
trip,0.012061181861060576
sound,0.012061181861060576
type,0.011993800956808841
smaller,0.011926420052557105
already,0.011791658244053635
shipping,0.011791658244053635
replaced,0.011791658244053635
fact,0.0117242773398019
waste,0.0117242773398019
wasn,0.011656896435550165
believe,0.011656896435550165
comb,0.01158951553129843
within,0.011522134627046696
haven,0.011522134627046696
u,0.011522134627046696
level,0.011387372818543224
fire,0.011387372818543224
daily,0.01131999191429149
noticed,0.011252611010039755
hope,0.011252611010039755
life,0.01118523010578802
either,0.01118523010578802
easier,0.011117849201536285
trying,0.011117849201536285
large,0.010983087393032814
clean,0.010848325584529344
itself,0.010848325584529344
let,0.010848325584529344
instead,0.010848325584529344
although,0.01078094468027761
compared,0.01078094468027761
burn,0.01078094468027761
black,0.010713563776025874
satisfied,0.010578801967522405
free,0.01051142106327067
regular,0.01051142106327067
kind,0.01051142106327067
Tourmaline,0.010444040159018933
left,0.010444040159018933
favorite,0.010444040159018933
natural,0.010376659254767199
he,0.010309278350515464
damage,0.010309278350515464
pink,0.010309278350515464
stylist,0.010241897446263729
room,0.010241897446263729
turned,0.010241897446263729
making,0.010174516542011994
next,0.010174516542011994
each,0.010174516542011994
guess,0.010174516542011994
wavy,0.01010713563776026
skin,0.01010713563776026
spend,0.01010713563776026
arm,0.01010713563776026
difficult,0.010039754733508524
tool,0.010039754733508524
okay,0.009972373829256788
someone,0.009972373829256788
customer,0.009904992925005053
save,0.009904992925005053
returned,0.009837612020753318
fairly,0.009702850212249849
outlet,0.009702850212249849
pay,0.009702850212249849
Turbo,0.009702850212249849
lower,0.009635469307998114
burning,0.009635469307998114
impressed,0.009635469307998114
inside,0.009568088403746379
thin,0.009568088403746379
amount,0.009568088403746379
paid,0.009568088403746379
service,0.009568088403746379
break,0.009500707499494642
sometime,0.009500707499494642
dual,0.009433326595242908
lighter,0.009433326595242908
house,0.009433326595242908
Con,0.009433326595242908
handy,0.009365945690991173
husband,0.009365945690991173
shine,0.009365945690991173
counter,0.009365945690991173
between,0.009298564786739438
tell,0.009298564786739438
shoulder,0.009231183882487703
decent,0.009163802978235968
Yes,0.009096422073984234
straighten,0.009096422073984234
else,0.009096422073984234
point,0.009029041169732497
pack,0.009029041169732497
