words,proportion
pacifier,1.0
love,0.9677808219178082
baby,0.8774794520547945
we,0.8144657534246575
so,0.7970410958904109
s,0.7831232876712328
these,0.7434520547945206
not,0.733041095890411
are,0.7284383561643836
great,0.7164931506849315
them,0.580054794520548
she,0.560986301369863
like,0.5602191780821918
he,0.5345753424657534
very,0.49446575342465754
when,0.48997260273972604
her,0.4804383561643836
Star,0.45216438356164385
can,0.4366027397260274
out,0.42882191780821916
be,0.42191780821917807
just,0.42115068493150687
would,0.40065753424657535
use,0.3991232876712329
only,0.37523287671232874
product,0.37326027397260275
our,0.3610958904109589
little,0.34915068493150686
all,0.34421917808219177
month,0.34136986301369865
son,0.33972602739726027
if,0.33567123287671236
get,0.334027397260274
good,0.3197808219178082
Five,0.3157260273972603
daughter,0.3157260273972603
or,0.31353424657534246
up,0.3111232876712329
hi,0.31046575342465754
will,0.30783561643835616
easy,0.3072876712328767
cute,0.30476712328767125
ha,0.29961643835616436
other,0.2796712328767123
because,0.27813698630136985
time,0.27495890410958906
old,0.2730958904109589
well,0.26893150684931505
from,0.2598356164383562
more,0.2478904109589041
really,0.24701369863013697
work,0.24602739726027398
too,0.2421917808219178
mouth,0.23463013698630136
also,0.23134246575342465
bought,0.22893150684931507
than,0.22290410958904108
much,0.21775342465753425
about,0.21052054794520547
no,0.20635616438356164
take,0.19747945205479453
keep,0.19715068493150684
perfect,0.19452054794520549
now,0.19408219178082192
don,0.19013698630136985
make,0.18136986301369862
what,0.18049315068493152
there,0.17972602739726026
seat,0.17720547945205478
do,0.17676712328767125
were,0.17589041095890412
after,0.17567123287671232
put,0.175013698630137
your,0.1749041095890411
thing,0.17315068493150684
first,0.17282191780821918
find,0.17216438356164385
bag,0.1713972602739726
best,0.17073972602739726
nice,0.16723287671232875
got,0.1656986301369863
used,0.16482191780821917
him,0.1644931506849315
me,0.16416438356164384
doesn,0.16208219178082192
hold,0.16142465753424656
paci,0.16065753424657533
still,0.15967123287671234
back,0.15945205479452054
which,0.15802739726027398
fit,0.15715068493150686
even,0.15627397260273973
buy,0.15254794520547946
gift,0.14783561643835616
bottle,0.14652054794520547
wubbanub,0.14564383561643834
two,0.14421917808219178
color,0.14334246575342466
quality,0.14323287671232876
any,0.14126027397260274
look,0.14104109589041097
recommend,0.14093150684931507
doe,0.1393972602739726
ones,0.136986301369863
off,0.136
better,0.13008219178082192
size,0.12986301369863013
didn,0.12975342465753426
loved,0.12975342465753426
toy,0.12964383561643836
been,0.1277808219178082
nipple,0.12712328767123288
clean,0.12701369863013698
since,0.1266849315068493
could,0.12591780821917808
made,0.12504109589041096
seem,0.12482191780821918
by,0.12416438356164383
babie,0.12361643835616438
around,0.12295890410958904
m,0.12241095890410959
night,0.12175342465753425
price,0.12054794520547946
using,0.1201095890410959
soft,0.11868493150684932
car,0.11824657534246576
its,0.11802739726027398
how,0.1176986301369863
year,0.1176986301369863
their,0.11605479452054794
need,0.11605479452054794
did,0.11583561643835616
some,0.11517808219178083
diaper,0.1141917808219178
over,0.11298630136986301
then,0.11287671232876713
am,0.11068493150684931
think,0.11035616438356165
go,0.10991780821917808
while,0.10882191780821918
soothie,0.10794520547945205
small,0.10783561643835617
enough,0.1073972602739726
way,0.10706849315068494
child,0.10619178082191781
kid,0.10564383561643835
new,0.10564383561643835
item,0.10564383561643835
come,0.10476712328767124
ve,0.10334246575342466
day,0.10257534246575342
easily,0.10202739726027397
hard,0.10027397260273972
without,0.09775342465753424
different,0.09764383561643836
newborn,0.09687671232876713
down,0.0958904109589041
tried,0.09556164383561644
give,0.0949041095890411
