marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,E,S,L,C,evaluation,Wdata
US,51401810,R3HT7OGKQO8Q0E,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,1.0,10,14,2,0.1,"Sorry, but it really did blow us away","I gave this dryer to the missus to try, since she uses one everyday and tears through one or two a year. I figured she'd be the perfect person to rate this against a number of other dryers. Here's what she said:<br /><br />First of all, this hair dryer looks sleek (chocolate brown with powder pink accents) and it doesn't look bad or distracting just sitting by the sink or on the dresser. (Some huge salon models that look like they power wind tunnels are much more obtrusive.) This one is rather long and slightly heavier, however, than the Con Air Infinity hair dryer I've been using, so it took a little getting used to the heft. The noise level is average (the same as Con Air), but it dries my hair much faster and seems like it gives more volume to my hair. The speed also allows me to style my hair better and it stays that way longer. While most blow dryers have multiple settings, this Remington really has noticeable differences between the settings, with warm being warm and hot actually being hot instead of a little warmer. The selection switches on this model are also much easier to change to get to those settings, and unlike most slide switch type models, they can be changed on the fly while styling without having to fumble and fret with the dryer. No doubt about it, I'm completely satisfied with this dryer.<br /><br />So of course, we give it five stars.",2010-11-22,0.1777777777777777,0.5044444444444445,1416,0.3342964306098779,0.3520698704389269,0.0
US,51742815,RWZZ77PTTHCDV,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,1.0,2,3,2,0.1,A Great Improvement Over Older Hair Dryers,"I have to admit, as a guy with short hair, I do not use a hair dryer very often.  However, I am all too familiar with the noise they make when my wife is drying her hair in the morning.  To me, her 10 year old hair dryer sounds like a mini jet engine.  I asked her to give this hair dryer a try.<br /><br />The first thing I noticed is that the hair dryer did not wake me up in the morning when my wife was drying her hair.  The hair dryer does not have that high pitch noise that makes it sound like a jet engine.  It makes a noise that I have not heard in a hair dryer before.  I would call it more of a low roar versus the high shriek of the older models.<br /><br />My wife was very impressed with the effectiveness of the dryer.  She said that it dried her hair in about half the time as her old dryer.<br /><br />The dryer does feel like it was build solid.  The outside casing has a rubbery type feel as opposed to the hard smooth plastic most dryers are made of.<br /><br />My wife is thrilled with how fast it dries her hair.  Personally, I love the fact that it is quiet and doesn't wake me up in the morning when she dries her hair (I work the graveyard shift so this is important to me).  So far, this is an excellent product and I would not hesitate to recommend it to anyone.",2010-11-23,0.2558620689655172,0.4904022988505747,1332,0.4060089544634346,0.2401873910352005,5.594849771055674e-05
US,21012418,RDJZW1MK1KH3B,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,-0.2,4,6,2,0.1,"Keeps frizz away, but takes forever to dry my hair","While this dryer does a nice job of keeping frizz away, it takes forever to dry my thick, shoulder-length hair with it.  Even when I've used the highest settings on it, it takes me twice as long to dry my hair with this Remington than it does with my [[ASIN:B003521CA2 Conair 259 Infiniti Pro AC Motor Styling Tool, Orange]].  I have wavy/curly hair, so I usually use a diffuser, but I've tried this both with the diffuser and without it, and each time it's taken me awhile to dry my hair.<br /><br />Some other pros of this dryer are that it has a nice feel to it (the material that it's made out of has a pearlescent, matte finish), isn't too heavy (so your arm doesn't get too tired while holding it), and comes with some nice attachments.  The diffuser, though, has prongs that are asymmetrical in length, so it takes awhile to get used to using it.<br /><br />Since many of the other reviews are glowing and say that this dryer dries in record time, I'm wondering if I received a defective unit. As I mentioned, it does cut down on frizz, but I prefer my Conair for a faster drying time.",2010-11-25,0.0267361111111111,0.5789930555555557,1143,0.0952389521882062,-0.0539202461838911,-8.83873967002381e-06
US,45404841,R3LXL05NPDK7P2,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,1.0,1,2,2,0.1,Salon type dryer for home use,"I purchased my previous dryer from my stylist but it was so heavy I quit using it.  The Pearl Ceramic dryer has the same features but is considerably lighter and works wonders with my naturally curly hair.  It dries my hair really quickly and that is what we use them for, especially in southern humidity! Both the diffuser and the air concentrator are useful for various styles.  I use a little wax mousse and presto! I highly recommend it.",2010-11-28,0.0356628787878787,0.3346969696969697,471,0.2220768715184949,0.2,0.00015289285474594943
US,43767503,R11X6SKN60OKF3,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,1.0,0,0,1,0.1,Love it!,"I've owned a lot of hairdryers in my time (who hasn't?), and this is the first one I can ever recall wanting to review.  I had to buy a new dryer because I left my other one at mom's.  Knowing I'd be home to collect that one (which came from a beauty supply store and works well), I grabbed this one (cheaply) at Target. I think I more or less chose it because it was cute, but I've wound up loving it for more practical reasons.  I very much prefer it to the one it replaced.  One reason is tactile; it has a nice almost-soft finish that's comfortable to touch or hold.  Ergonomically, it simply feels right in my hand.  It's very well balanced.  The cool air option works great; far cooler air (esp for a sustained time) than any other dryer I've owned.  The air opening is a little bit smaller than average, so it provided well directed air.  (There is also a good diffuser included if you need to diffuse rather than direct.)  Provides a good and shiny and smooth blow out.  Quickly.  Even on cool air! The cord is NOT retractible, but is is a good length and doesn't seem to tangle easily.  I would recommend this product.",2010-12-13,0.298658685064935,0.5497104978354979,1136,0.3986878710263684,0.1,0.00048034683256189116
US,37586596,R2FS8KO1N2MAYK,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,0.6,0,0,2,0.1,One Powerful Hair Dryer,"The Remington Ac2015 is a good hair dryer with a reasonable price point that will get the job done for which it is intended--drying hair.  The hair dryer itself is very sturdy (and a bit heavier than most) and the controls are easy to use.  But is it possible that a hair dryer can actually have too much power behind the air flow?  If so, this hair dryer would fit the bill.   The Remington is a work horse of a hair dryer that has so much power for air velocity it was almost more than I would have preferred.  It blew my hair in just about every direction imaginable, and it blew papers on the ledge in my bathroom all around the room.  So therein lies what might be a potential issue with the hair dryer.  If you are a person who likes to style your hair with the help of your hair dryer, it might be a challenge to find a setting to do that.  While using the high speed setting on the hair dryer, with a round brush, my hair tended to blow around too much, and made it hard to control the hair in the brush.  The low setting was a better option, however, when I chose to use the cool shot option to set the hair, it made the hair dryer speed go faster, and blew more air than if you left the button untouched.  I am not sure why the airflow would increase when you hit the cool shot button, but that is what happened every time I pushed it.  It almost seems to be an engineering oversight.  Anyway, after a few days, I gave up on the Remington, for styling specific challenges only, and went back to using my Tourmaline Tools hair dryer, which I like very much.  If ever there is a time I just need a quick blow dry, I would certainly reach for this hair dryer, and it is more than suitable for general every day use.",2010-12-14,0.1720171957671957,0.5002865961199295,1746,0.3407654425669816,0.12,0.0005161335446797668
US,33303481,R6OQL7MIWVPIB,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,1.0,1,1,2,0.1,Pretty and professional!,"The first impression from the wife on this one was that it looked 'pretty'. The hair dryer actually is brownish with pink details, contrary to what the pictures on this page may suggest (Black) It has a very 'girlie' elegant look, so the first impression was great.<br /><br />After using it for a while you can clearly tell this is designed for heavy duty, my wife owns a Conair hair dryer and this one is definitely quieter then the Conair one and more potent. It is indeed heavier but at the same time slim, basically it is not a big hair dryer but it is heavier than your average ones, not a big deal but worth mentioning. It has two speed settings you can use and three different temperature settings.<br /><br />Bottom line, a very 'professional' hair dryer, better than the old Conair the wife will no longer use. Additionally an accessory to give volume to the hair is included.",2010-12-15,0.1390972222222222,0.3974305555555555,911,0.3426252608759005,0.2,0.0009042318990413913
US,25944325,R310OGXGLW8AY0,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,1.0,5,6,1,0.1,Best Hairdryer EVER,"I love this hair dryer so much, I got online to review it...  Of all the dryers I've owned (including a T3) this one dries the fastest and leaves my hair smooth not frizzed.  I'm not saying it's going to perform miracles and turn a rat's nest into a Pantene commercial; but I use to run my straightening iron through my hair just to smooth it out a bit more, and I don't feel the need to do that anymore.",2010-12-15,0.4285714285714285,0.3714285714285714,424,0.486310022111237,0.181712059283214,0.0011660775089280906
US,49017950,R1JWNMQ8HXKCKA,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,1.0,1,1,2,0.1,Best hairdryer yet,"We were a little skeptical but this hair dryer does what it claims. First, it's a lot quieter than any other hair dryer we've used. They're all a little noisy but this one is by far the least noisy. It claims to make your hair shinier, too. Maybe, if you use it the right way. We've been using this for over a month now and it's hard to tell but we're inclined to believe the hype. Overall, a superb product so far.",2010-12-16,0.088003663003663,0.5373626373626373,434,0.1811651574274221,0.2,0.0004989057691632972
US,14909698,R2JK82HHMUGGOU,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,0.6,1,1,1,0.1,Hair Dryer Technology,"My first thought when I pulled it out of the box was that it was very stylish. I love the pink! It is very professional-looking indeed.<br /><br />I like the dryer has a nice long cord, as almost every dryer I have ever owned have had short chords.<br /><br />This hairdryer is  really powerful. I have short hair and the dryer dried my hair rather quickly. The two attachments the dryer comes with were easy to place on and remove.<br /><br />There are three heat and two speed selections. I found the  highest heat setting very hot, but it would be perfect for someone with long thick hair. The medium setting works well for my short hair.<br /><br />I have two minor complaints with the dryer: The weight of the dryer is a little heavier than I'm use to and  my 2nd complaint is with the placement of the controls. It made it kind of hard to hold and dry my hair, as I was trying hard not to accidentally change the settings.<br /><br />That will just take some getting use to on my part.<br /><br />Overall, the Remington Ac2015 Tstudio Salon Collection Pearl Ceramic Hair Dryer is a great product and certainly worth the price.",2010-12-21,0.1563988095238095,0.5348214285714284,1154,0.2878478000045594,0.06,0.00028735236489267494
