keys,values
love,1.0
pacifier,0.8885448916408669
baby,0.777208859252203
we,0.7321981424148607
great,0.7082638723505597
so,0.6907597046915932
these,0.6708740176232436
s,0.6705167897118361
but,0.6574184329602286
are,0.6443200762086211
they,0.6415813288878305
she,0.5235770421528936
as,0.5215527506549178
them,0.5108359133126935
he,0.49095022624434387
like,0.4465348892593475
her,0.4434389140271493
not,0.4411764705882353
very,0.4205763276970707
when,0.42021909978566324
Star,0.4187901881400333
can,0.3875922838771136
just,0.34698737794713025
Five,0.340795427482734
out,0.33817575613241246
use,0.33734222433912836
our,0.335556084782091
only,0.3305548940223863
be,0.3249583234103358
little,0.32483924743986664
product,0.31769468921171706
easy,0.30590616813527033
would,0.302691116932603
son,0.3018575851393189
daughter,0.2937604191474161
month,0.28328173374613
all,0.2804239104548702
cute,0.2793522267206478
hi,0.2793522267206478
good,0.2779233150750179
get,0.2722076684924982
ha,0.26661109788044773
will,0.2661347939985711
up,0.25958561562276733
or,0.259347463681829
if,0.2551798047154084
other,0.24398666349130746
old,0.2420814479638009
well,0.23958085258394857
time,0.22660157180281018
because,0.2204096213384139
from,0.21266968325791855
more,0.21052631578947367
really,0.20397713741366993
also,0.20373898547273162
perfect,0.2023100738271017
mouth,0.19885687068349608
bought,0.19659442724458204
work,0.19230769230769232
too,0.1850440581090736
than,0.18480590616813528
much,0.18301976661109787
keep,0.17730412002857823
about,0.1762324362943558
best,0.1744462967373184
take,0.1724220052393427
now,0.17111216956418196
no,0.16694451059776136
find,0.1583710407239819
make,0.15801381281257443
nice,0.15360800190521554
him,0.15289354608240058
seat,0.15015479876160992
gift,0.14848773517504169
hold,0.14848773517504169
put,0.1483686592045725
thing,0.1475351274112884
paci,0.14658251964753513
don,0.1449154560609669
wubbanub,0.14348654441533698
bag,0.14312931650392952
first,0.14277208859252202
used,0.14181948082876875
were,0.14062872112407715
there,0.13800904977375567
your,0.13741366992140985
got,0.13693736603953321
what,0.13658013812812575
still,0.1358656823053108
fit,0.1355084543939033
do,0.13372231483686592
recommend,0.13336508692545845
me,0.13241247916170518
bottle,0.1282448201952846
back,0.12622052869730888
after,0.12550607287449392
loved,0.1252679209335556
any,0.1226482495832341
which,0.12229102167182662
buy,0.1214574898785425
even,0.1206239580852584
ones,0.11907597046915933
clean,0.11836151464634437
quality,0.11764705882352941
doesn,0.11514646344367707
been,0.11467015956180043
night,0.11407477970945464
soft,0.11395570373898548
look,0.11395570373898548
toy,0.1130030959752322
since,0.110621576565849
color,0.11050250059537985
size,0.11026434865444153
car,0.10931174089068826
two,0.1091926649202191
babie,0.10907358894974994
price,0.10800190521552751
around,0.10788282924505835
year,0.10526315789473684
by,0.10478685401286021
their,0.10371517027863777
made,0.10347701833769946
doe,0.10121457489878542
how,0.1009764229578471
using,0.1009764229578471
seem,0.1009764229578471
diaper,0.09919028340080972
its,0.09823767563705645
m,0.09811859966658729
nipple,0.09788044772564897
need,0.09716599190283401
new,0.09692783996189569
go,0.09680876399142653
some,0.09668968802095737
off,0.09549892831626577
better,0.09526077637532746
could,0.0951417004048583
kid,0.09490354846391998
while,0.09478447249345082
soothie,0.09478447249345082
favorite,0.09430816861157418
ve,0.09323648487735176
without,0.0931174089068826
easily,0.09168849726125268
over,0.09156942129078352
happy,0.0901405096451536
enough,0.09002143367468445
am,0.08990235770421529
think,0.08966420576327697
child,0.08609192664920219
sleep,0.08597285067873303
day,0.08549654679685639
help,0.08502024291497975
didn,0.08478209097404144
newborn,0.08478209097404144
super,0.08418671112169564
come,0.08382948321028816
every,0.08299595141700405
crib,0.0828768754465349
tried,0.08240057156465826
animal,0.0816861157418433
brand,0.08097165991902834
then,0.08085258394855918
small,0.08073350797809002
item,0.08061443200762086
different,0.08001905215527506
give,0.07978090021433674
lot,0.07954274827339843
right,0.07870921648011431
see,0.07859014050964515
way,0.07823291259823767
down,0.07680400095260777
did,0.07644677304120029
hospital,0.07608954512979281
who,0.07549416527744701
hand,0.07549416527744701
stroller,0.07501786139557037
u,0.07442248154322458
big,0.07382710169087878
part,0.07335079780900214
