influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
187581,Funkadelic,R&B;,1960,1098,Soundgarden,Pop/Rock,1980
390390,Ohio Players,R&B;,1950,1098,Soundgarden,Pop/Rock,1980
7689,TLC,R&B;,1990,2750,Total,R&B;,1990
160690,En Vogue,R&B;,1990,2750,Total,R&B;,1990
208774,Janet Jackson,R&B;,1970,2750,Total,R&B;,1990
262255,Mariah Carey,R&B;,1980,2750,Total,R&B;,1990
319347,R. Kelly,R&B;,1990,2750,Total,R&B;,1990
376204,Mary J. Blige,R&B;,1990,2750,Total,R&B;,1990
802302,Chaka Khan,R&B;,1960,2750,Total,R&B;,1990
820434,Whitney Houston,R&B;,1980,2750,Total,R&B;,1990
101895,Joe,R&B;,1990,3426,Tank,R&B;,2000
319347,R. Kelly,R&B;,1990,3426,Tank,R&B;,2000
309458,Screamin' Jay Hawkins,R&B;,1950,3669,Southern Culture on the Skids,Pop/Rock,1980
536122,George Duke,Jazz,1960,4553,T-Connection,R&B;,1970
208774,Janet Jackson,R&B;,1970,4852,Selena,Latin,1980
661524,Donna Summer,R&B;,1970,4852,Selena,Latin,1980
1190,Syreeta,R&B;,1960,5307,Alicia Keys,R&B;,1990
7689,TLC,R&B;,1990,5307,Alicia Keys,R&B;,1990
74195,Natalie Cole,R&B;,1950,5307,Alicia Keys,R&B;,1990
101946,Isaac Hayes,R&B;,1960,5307,Alicia Keys,R&B;,1990
134600,D'Angelo,R&B;,1990,5307,Alicia Keys,R&B;,1990
164053,Faith Evans,R&B;,1990,5307,Alicia Keys,R&B;,1990
165011,Dionne Warwick,R&B;,1960,5307,Alicia Keys,R&B;,1990
170770,Erykah Badu,R&B;,1990,5307,Alicia Keys,R&B;,1990
208774,Janet Jackson,R&B;,1970,5307,Alicia Keys,R&B;,1990
279337,Sade,R&B;,1980,5307,Alicia Keys,R&B;,1990
290072,Roberta Flack,R&B;,1960,5307,Alicia Keys,R&B;,1990
316834,Marvin Gaye,R&B;,1950,5307,Alicia Keys,R&B;,1990
361393,Prince,R&B;,1970,5307,Alicia Keys,R&B;,1990
376204,Mary J. Blige,R&B;,1990,5307,Alicia Keys,R&B;,1990
411761,Nina Simone,Vocal,1950,5307,Alicia Keys,R&B;,1990
568861,The Sweet Inspirations,R&B;,1950,5307,Alicia Keys,R&B;,1990
614823,Brenda Russell,R&B;,1970,5307,Alicia Keys,R&B;,1990
622805,Stevie Wonder,R&B;,1960,5307,Alicia Keys,R&B;,1990
866491,Maxwell,R&B;,1990,5307,Alicia Keys,R&B;,1990
887806,Oleta Adams,Pop/Rock,1980,5307,Alicia Keys,R&B;,1990
927555,Aretha Franklin,R&B;,1950,5307,Alicia Keys,R&B;,1990
933172,Allen Toussaint,R&B;,1950,5307,Alicia Keys,R&B;,1990
309458,Screamin' Jay Hawkins,R&B;,1950,5953,Alice Cooper,Pop/Rock,1960
21334,Stephanie Mills,R&B;,1960,6568,Alicia Myers,R&B;,1980
816701,Deniece Williams,R&B;,1970,6568,Alicia Myers,R&B;,1980
825168,The Jones Girls,R&B;,1960,6568,Alicia Myers,R&B;,1980
46861,Ray Charles,R&B;,1940,6613,Ali Farka Tour̩,International,1970
821571,Smokey Robinson,R&B;,1950,7230,Brian May,Pop/Rock,1960
61479,The Five Satins,R&B;,1950,7448,The Delfonics,R&B;,1960
64145,The Five Keys,R&B;,1950,7448,The Delfonics,R&B;,1960
82013,The Impressions,R&B;,1950,7448,The Delfonics,R&B;,1960
118544,The Drifters,R&B;,1950,7448,The Delfonics,R&B;,1960
144458,Curtis Mayfield,R&B;,1950,7448,The Delfonics,R&B;,1960
147200,The Dells,R&B;,1950,7448,The Delfonics,R&B;,1960
162820,Gene Chandler,R&B;,1950,7448,The Delfonics,R&B;,1960
316834,Marvin Gaye,R&B;,1950,7448,The Delfonics,R&B;,1960
329468,Jerry Butler,R&B;,1950,7448,The Delfonics,R&B;,1960
524239,Brook Benton,R&B;,1950,7448,The Delfonics,R&B;,1960
894335,The Platters,R&B;,1950,7448,The Delfonics,R&B;,1960
41420,Pebbles,R&B;,1980,7689,TLC,R&B;,1990
59819,Betty Wright,R&B;,1950,7689,TLC,R&B;,1990
101953,Klymaxx,R&B;,1980,7689,TLC,R&B;,1990
118289,Labelle,R&B;,1970,7689,TLC,R&B;,1990
208774,Janet Jackson,R&B;,1970,7689,TLC,R&B;,1990
