id,lable
894465,894465
45057,45057
12802,12802
180228,180228
162820,162820
28166,28166
55304,55304
773642,773642
941579,941579
346637,346637
962064,962064
531986,531986
527379,527379
208404,208404
115733,115733
239638,239638
746010,746010
168993,168993
238115,238115
813092,813092
852007,852007
805930,805930
395819,395819
754219,754219
414251,414251
150062,150062
159791,159791
484396,484396
75825,75825
7729,7729
2993710,2993710
538677,538677
683065,683065
569914,569914
607804,607804
807489,807489
770629,770629
200775,200775
924232,924232
144458,144458
685647,685647
769616,769616
76881,76881
309328,309328
457807,457807
143951,143951
282709,282709
38490,38490
577627,577627
82013,82013
578141,578141
630882,630882
128099,128099
487012,487012
279141,279141
204901,204901
778344,778344
46699,46699
225389,225389
792175,792175
89713,89713
411761,411761
182900,182900
171637,171637
276085,276085
369270,369270
750203,750203
804476,804476
562304,562304
664194,664194
212612,212612
193160,193160
793227,793227
636044,636044
49806,49806
784527,784527
194703,194703
59537,59537
806542,806542
269972,269972
241813,241813
29334,29334
82584,82584
80537,80537
654490,654490
139933,139933
102050,102050
960674,960674
317093,317093
114342,114342
418981,418981
71336,71336
79016,79016
428717,428717
928942,928942
609966,609966
403120,403120
200882,200882
90803,90803
477875,477875
66228,66228
184502,184502
240311,240311
577720,577720
819894,819894
271029,271029
81083,81083
1006782,1006782
170690,170690
13511,13511
133832,133832
120521,120521
829643,829643
489676,489676
35021,35021
646353,646353
840402,840402
577235,577235
491220,491220
74452,74452
824022,824022
253142,253142
607448,607448
622805,622805
74970,74970
231645,231645
346336,346336
988386,988386
748773,748773
391398,391398
322279,322279
39656,39656
314600,314600
617196,617196
39661,39661
342768,342768
265456,265456
169202,169202
164594,164594
3829,3829
121590,121590
198901,198901
116984,116984
290040,290040
816890,816890
147200,147200
131841,131841
44290,44290
483587,483587
110341,110341
246022,246022
60679,60679
117001,117001
198922,198922
104714,104714
46861,46861
92942,92942
662800,662800
118544,118544
139026,139026
59156,59156
496405,496405
796950,796950
824599,824599
137494,137494
959770,959770
108826,108826
898331,898331
37658,37658
611102,611102
359199,359199
898336,898336
380704,380704
668448,668448
376608,376608
781094,781094
176936,176936
81194,81194
950571,950571
211758,211758
479028,479028
354105,354105
172350,172350
100160,100160
821571,821571
927555,927555
954694,954694
112462,112462
242511,242511
813392,813392
328014,328014
345427,345427
769876,769876
542549,542549
669015,669015
55128,55128
239961,239961
489303,489303
31067,31067
528221,528221
479582,479582
93533,93533
409954,409954
423267,423267
343396,343396
66915,66915
892771,892771
987491,987491
817000,817000
330601,330601
295276,295276
332141,332141
186734,186734
921965,921965
754032,754032
135024,135024
771438,771438
287604,287604
617844,617844
162677,162677
847735,847735
825208,825208
792953,792953
311674,311674
16759,16759
163198,163198
894335,894335
77698,77698
301955,301955
793988,793988
274822,274822
803720,803720
33161,33161
127369,127369
927627,927627
82831,82831
848784,848784
60306,60306
41874,41874
423829,423829
677781,677781
74134,74134
888730,888730
112540,112540
192925,192925
238495,238495
486305,486305
316834,316834
75171,75171
154533,154533
549797,549797
763301,763301
840102,840102
608166,608166
204714,204714
766893,766893
573870,573870
813485,813485
266160,266160
197040,197040
756656,756656
490416,490416
762288,762288
772526,772526
500664,500664
162233,162233
596922,596922
792507,792507
608701,608701
815039,815039
942529,942529
175553,175553
753094,753094
260038,260038
315336,315336
259529,259529
303050,303050
138699,138699
524239,524239
814036,814036
772567,772567
532957,532957
174557,174557
631774,631774
806877,806877
190946,190946
923618,923618
894956,894956
159214,159214
404463,404463
742899,742899
577531,577531
64509,64509
