source,target
145443,4852
752945,6232
172642,6334
212612,6334
307135,7230
805785,7230
133057,9437
161808,9437
162269,9437
227088,9437
368112,9437
495861,9437
749476,9437
750131,9437
641450,9680
169536,11242
608701,13511
797881,13511
31274,13755
798992,13755
361393,17748
418955,17748
801573,17748
830375,17748
164093,17929
165011,17929
119629,18137
179379,19435
352171,20740
80780,20760
661524,21334
502163,24152
66915,24568
567325,28692
376608,29884
202554,30250
2993710,31067
7689,31442
210991,31442
317865,31442
495338,31442
66915,31685
105618,31685
130115,31685
138833,31685
170815,31685
191947,31685
424296,31685
496097,31685
497132,31685
639397,31685
692100,31685
754032,31685
756656,31685
771297,31685
129817,33580
939187,33580
10538,34382
574597,34382
143367,34867
781766,35587
3495279,36106
140816,36987
913210,37730
70715,38466
128249,38466
816896,38466
16281,38805
127696,38805
134600,38805
170770,38805
176358,38805
200074,38805
279337,38805
376204,38805
884962,38805
41874,38936
66915,38936
130115,38936
631774,38936
754032,38936
756656,38936
814036,38936
761108,39013
484396,39656
164093,40225
834673,40225
2993710,40225
410219,46699
94224,46727
414251,46727
569685,46727
617568,46784
654490,46861
758601,48816
311074,53441
769616,55128
942529,55128
66915,57124
354105,57124
414251,57124
894465,57124
49180,58361
269972,59156
617844,59156
164093,59819
165011,59819
376608,59819
384675,59819
594665,59819
772526,59819
180449,61226
361973,68934
66915,69153
333634,69153
754032,69153
28772,69986
165818,69986
471156,69986
515628,69986
554963,69986
753963,69986
848034,69986
934721,69986
66915,70715
333634,70715
505532,70715
66915,71209
631774,71209
384675,74195
233862,74776
233862,76057
522768,76561
486305,76881
617844,76881
342768,81083
396372,81796
200882,85410
414251,85410
582253,85410
607448,85410
661524,86826
342768,87113
36402,87597
66915,87597
100160,87597
154548,87597
198532,87597
754032,87597
894465,87597
485135,88180
822910,88180
863790,88180
112462,89021
187478,89021
240865,89021
354105,89021
754032,89021
756656,89021
814036,89021
894465,89021
583935,89713
921002,93632
337856,94205
188843,95613
200882,98081
20278,100116
120521,101628
278575,102050
806168,109414
776576,111969
2993710,116984
410219,117844
745964,117844
123345,118493
202554,118493
219021,118493
267354,118493
66915,121590
191947,122795
66915,127451
234325,127451
754032,127451
135391,127949
484396,127949
833782,128440
31263,131681
498987,133177
681956,133177
642796,133719
831215,133719
894465,138699
414251,144458
2825814,145128
414889,148355
536275,151979
320426,154544
94224,159214
200882,159214
376608,159214
384675,159214
467749,159214
542976,159214
594665,159214
930722,159214
22348,162487
118189,162487
368112,162487
686560,162487
749476,162487
811897,162487
792175,162677
511041,163435
7689,165117
248916,165830
681340,165830
1097,166033
258882,166033
944105,166033
784527,166767
19297,166785
631579,166785
863790,167320
75100,170369
817369,170369
237517,171637
66915,171994
754032,171994
451296,172167
175553,172350
868092,172612
66915,174822
237517,174822
136640,175286
234325,175286
