source,target
532957,3829
805930,3829
46699,41874
71336,41874
102050,41874
116984,41874
120521,41874
139933,41874
171637,41874
265456,41874
491220,41874
538677,41874
636044,41874
754032,41874
894335,41874
82584,46861
170690,46861
287604,46861
317093,46861
654490,46861
662800,46861
928942,46861
76881,55128
176936,55128
276085,55128
287604,55128
343396,55128
608701,55128
750203,55128
769616,55128
815039,55128
942529,55128
959770,55128
960674,55128
3829,59156
176936,59156
259529,59156
269972,59156
287604,59156
301955,59156
527379,59156
608701,59156
617844,59156
805930,59156
39661,66915
49806,66915
81083,66915
89713,66915
112540,66915
120521,66915
154533,66915
169202,66915
180228,66915
190946,66915
231645,66915
266160,66915
309328,66915
342768,66915
391398,66915
528221,66915
538677,66915
549797,66915
577531,66915
607804,66915
662800,66915
781094,66915
796950,66915
813092,66915
816890,66915
821571,66915
824022,66915
888730,66915
898336,66915
276085,76881
486305,76881
608701,76881
617844,76881
630882,76881
815039,76881
825208,76881
13511,79016
259529,79016
342768,81083
848784,81083
28166,100160
55128,100160
120521,100160
239961,100160
496405,100160
754032,100160
792953,100160
824022,100160
46861,108826
162677,108826
212612,108826
269972,108826
287604,108826
343396,108826
3829,120521
46861,120521
74970,120521
176936,120521
269972,120521
287604,120521
317093,120521
343396,120521
549797,120521
608701,120521
805930,120521
959770,120521
46861,128099
75825,128099
108826,128099
118544,128099
120521,128099
162677,128099
238115,128099
269972,128099
287604,128099
343396,128099
423829,128099
609966,128099
664194,128099
824022,128099
960674,128099
197040,137494
225389,137494
287604,137494
343396,137494
369270,137494
748773,137494
38490,139026
110341,139026
112462,139026
120521,139026
131841,139026
162233,139026
180228,139026
182900,139026
192925,139026
241813,139026
276085,139026
311674,139026
345427,139026
354105,139026
423267,139026
569914,139026
608701,139026
746010,139026
754032,139026
756656,139026
814036,139026
894465,139026
894956,139026
959770,139026
77698,162677
82584,162677
259529,162677
346637,162677
532957,162677
792175,162677
39656,175553
44290,175553
79016,175553
162677,175553
172350,175553
184502,175553
208404,175553
211758,175553
259529,175553
404463,175553
423829,175553
490416,175553
596922,175553
646353,175553
742899,175553
3829,176936
204714,176936
527379,176936
753094,176936
76881,180228
81083,180228
82831,180228
269972,180228
290040,180228
303050,180228
309328,180228
343396,180228
380704,180228
403120,180228
486305,180228
549797,180228
662800,180228
762288,180228
813392,180228
960674,180228
60306,184502
395819,184502
954694,184502
170690,211758
172350,211758
225389,211758
259529,211758
346637,211758
770629,211758
784527,211758
793227,211758
13511,238115
79016,238115
82584,238115
269972,238115
317093,238115
668448,238115
322279,266160
577531,266160
669015,266160
796950,266160
3829,276085
753094,276085
3829,287604
532957,287604
59156,303050
81194,303050
128099,303050
276085,303050
486305,303050
532957,303050
762288,303050
82584,309328
197040,309328
287604,309328
343396,309328
960674,309328
46861,316834
55128,316834
81194,316834
108826,316834
118544,316834
164594,316834
212612,316834
238115,316834
290040,316834
315336,316834
317093,316834
479582,316834
524239,316834
769876,316834
792507,316834
813392,316834
821571,316834
894335,316834
287604,317093
28166,346336
55128,346336
66915,346336
76881,346336
100160,346336
266160,346336
345427,346336
483587,346336
489303,346336
496405,346336
577627,346336
608701,346336
754032,346336
763301,346336
894465,346336
924232,346336
3829,354105
55128,354105
59156,354105
64509,354105
66915,354105
76881,354105
82013,354105
90803,354105
112462,354105
120521,354105
128099,354105
144458,354105
150062,354105
175553,354105
176936,354105
186734,354105
198922,354105
239638,354105
242511,354105
274822,354105
276085,354105
489303,354105
608701,354105
611102,354105
754032,354105
766893,354105
805930,354105
824022,354105
824599,354105
829643,354105
927627,354105
942529,354105
33161,423829
77698,423829
82584,423829
127369,423829
128099,423829
133832,423829
162677,423829
170690,423829
211758,423829
259529,423829
346637,423829
354105,423829
359199,423829
490416,423829
646353,423829
950571,423829
66915,531986
80537,531986
92942,531986
100160,531986
104714,531986
120521,531986
121590,531986
159214,531986
253142,531986
314600,531986
346336,531986
489676,531986
562304,531986
577627,531986
578141,531986
607448,531986
617196,531986
754032,531986
754219,531986
804476,531986
824022,531986
840402,531986
847735,531986
892771,531986
894465,531986
55128,538677
74970,538677
75171,538677
180228,538677
246022,538677
332141,538677
549797,538677
664194,538677
200775,549797
577531,549797
848784,549797
7729,562304
100160,562304
114342,562304
138699,562304
330601,562304
354105,562304
404463,562304
428717,562304
487012,562304
489303,562304
489676,562304
500664,562304
573870,562304
577627,562304
754032,562304
763301,562304
773642,562304
840402,562304
894465,562304
923618,562304
924232,562304
28166,577627
41874,577627
55128,577627
76881,577627
100160,577627
108826,577627
120521,577627
128099,577627
238115,577627
239961,577627
240311,577627
282709,577627
414251,577627
496405,577627
677781,577627
754032,577627
793988,577627
894465,577627
921965,577627
927627,577627
60679,608701
753094,608701
898331,608701
959770,608701
1006782,608701
31067,622805
46861,622805
66915,622805
90803,622805
108826,622805
128099,622805
139933,622805
159791,622805
238115,622805
817000,622805
824599,622805
41874,631774
45057,631774
46699,631774
66915,631774
74134,631774
76881,631774
81083,631774
93533,631774
102050,631774
174557,631774
175553,631774
266160,631774
538677,631774
577720,631774
754032,631774
807489,631774
840102,631774
894465,631774
941579,631774
987491,631774
200775,662800
848784,662800
29334,754032
35021,754032
38490,754032
46699,754032
55128,754032
66915,754032
90803,754032
117001,754032
120521,754032
135024,754032
137494,754032
174557,754032
180228,754032
239961,754032
269972,754032
279141,754032
332141,754032
376608,754032
404463,754032
418981,754032
477875,754032
496405,754032
538677,754032
766893,754032
792953,754032
793988,754032
803720,754032
821571,754032
824022,754032
852007,754032
941579,754032
33161,766893
46861,766893
120521,766893
128099,766893
147200,766893
354105,766893
821571,766893
824022,766893
894335,766893
59537,771438
100160,771438
112462,771438
168993,771438
238495,771438
311674,771438
