source,target
40225,17748
361393,17748
418955,17748
491220,17748
575012,17748
597309,17748
801573,17748
806877,17748
830375,17748
927555,17748
103162,18258
213212,18258
290072,18258
302685,18258
316834,18258
384675,18258
500889,18258
594665,18258
597309,18258
802302,18258
821571,18258
834673,18258
927555,18258
81194,20278
100854,20278
108826,20278
144458,20278
148477,20278
164594,20278
168958,20278
198162,20278
212612,20278
233228,20278
238115,20278
316834,20278
457807,20278
607448,20278
821571,20278
838195,20278
376608,29884
46861,31067
81194,31067
108826,31067
180228,31067
238115,31067
290040,31067
309458,31067
317093,31067
668448,31067
817000,31067
2993710,31067
31067,33161
64509,33161
82013,33161
94224,33161
108826,33161
128099,33161
129775,33161
198162,33161
343396,33161
414251,33161
423829,33161
477377,33161
754032,33161
772976,33161
840102,33161
79016,40225
164093,40225
184502,40225
316834,40225
411761,40225
806542,40225
806877,40225
819894,40225
834673,40225
927555,40225
2993710,40225
82584,46861
170690,46861
287604,46861
317093,46861
654490,46861
662800,46861
928942,46861
343396,55128
960674,55128
40225,59819
164093,59819
165011,59819
316834,59819
376608,59819
384675,59819
411761,59819
491220,59819
594665,59819
772526,59819
821571,59819
927555,59819
309328,66915
821571,66915
40225,74195
59819,74195
256349,74195
317093,74195
384675,74195
411761,74195
927555,74195
238115,74452
333175,74452
82831,75171
403120,75171
75171,75825
82831,75825
287604,75825
403120,75825
490763,75825
894335,75825
31685,78044
46861,78044
66915,78044
79016,78044
94224,78044
108826,78044
144458,78044
164594,78044
238115,78044
246628,78044
295545,78044
316834,78044
329468,78044
354105,78044
414251,78044
569685,78044
607448,78044
622805,78044
754032,78044
806542,78044
933172,78044
2993710,78044
817000,81194
55304,82013
108826,82013
118544,82013
147200,82013
162820,82013
479582,82013
894335,82013
33161,83013
34094,83013
40225,83013
128099,83013
139933,83013
144458,83013
316834,83013
317093,83013
376608,83013
414251,83013
477875,83013
569685,83013
577235,83013
594665,83013
622805,83013
677781,83013
762731,83013
766893,83013
821571,83013
46861,90803
75825,90803
287604,90803
770629,90803
960674,90803
82013,92942
101946,92942
118289,92942
128099,92942
129775,92942
144458,92942
165011,92942
302685,92942
316834,92942
477875,92942
568861,92942
569685,92942
622805,92942
669473,92942
766893,92942
46861,94224
120521,94224
131841,94224
260038,94224
276085,94224
608701,94224
762288,94224
806542,94224
889449,94224
128099,101946
137494,101946
162820,101946
198162,101946
238115,101946
309328,101946
316834,101946
329468,101946
414251,101946
486775,101946
772976,101946
46861,108826
162677,108826
212612,108826
269972,108826
287604,108826
343396,108826
75171,118544
80657,118544
82831,118544
403120,118544
490763,118544
816895,118544
894335,118544
46861,120521
269972,120521
343396,120521
46861,128099
75825,128099
108826,128099
118544,128099
120521,128099
162677,128099
238115,128099
269972,128099
287604,128099
343396,128099
423829,128099
609966,128099
664194,128099
824022,128099
960674,128099
33161,129775
57124,129775
59655,129775
75825,129775
82013,129775
128099,129775
138699,129775
139933,129775
303050,129775
354105,129775
569685,129775
988638,129775
28772,135273
33161,135273
46861,135273
83013,135273
128099,135273
129775,135273
144458,135273
175553,135273
316834,135273
334770,135273
354105,135273
548338,135273
766893,135273
772976,135273
808198,135273
197040,137494
225389,137494
287604,137494
343396,137494
369270,137494
748773,137494
269972,139933
271029,139933
31067,144458
61479,144458
108826,144458
115733,144458
128099,144458
164594,144458
238115,144458
309328,144458
317093,144458
414251,144458
479582,144458
668448,144458
894335,144458
55304,147200
75171,147200
82584,147200
82831,147200
317093,147200
403120,147200
609966,147200
762921,147200
816895,147200
46861,149044
118544,149044
148477,149044
164594,149044
198162,149044
213590,149044
233228,149044
378624,149044
414251,149044
477875,149044
82013,162820
144458,162820
238115,162820
287604,162820
343396,162820
819894,162820
960674,162820
70715,164594
80657,164594
108826,164594
184502,164594
238115,164594
317093,164594
403120,164594
608166,164594
817000,164594
893719,164594
79016,165011
110104,165011
184502,165011
368367,165011
418981,165011
642542,165011
668448,165011
792507,165011
815575,165011
847735,165011
927555,165011
46861,168958
108826,168958
126144,168958
128099,168958
238115,168958
303050,168958
664194,168958
815039,168958
824022,168958
827250,168958
82013,182360
90803,182360
101946,182360
128099,182360
144458,182360
174557,182360
232564,182360
233228,182360
238115,182360
316834,182360
414251,182360
622805,182360
754032,182360
927555,182360
33161,187581
75825,187581
94224,187581
120521,187581
128099,187581
138699,187581
139026,187581
309458,187581
354105,187581
414251,187581
569685,187581
754032,187581
766893,187581
772976,187581
824022,187581
894465,187581
924232,187581
210323,198162
317093,198162
608701,198162
17748,208076
20278,208076
46861,208076
78044,208076
101946,208076
147200,208076
149044,208076
165011,208076
182360,208076
212612,208076
221894,208076
233228,208076
238115,208076
246885,208076
254535,208076
316834,208076
317093,208076
378624,208076
414251,208076
594665,208076
607448,208076
669473,208076
806507,208076
817000,208076
838195,208076
892771,208076
927555,208076
2993710,208076
1190,208774
18258,208774
86826,208774
92942,208774
270491,208774
361393,208774
467203,208774
500889,208774
594665,208774
597309,208774
622805,208774
661524,208774
802302,208774
816701,208774
894847,208774
927555,208774
100854,233228
212200,233228
212612,233228
213590,233228
238115,233228
317093,233228
403120,233228
792507,233228
817000,233228
894827,233228
13511,238115
79016,238115
82584,238115
269972,238115
317093,238115
668448,238115
46861,242511
333175,254535
931567,269972
31067,271029
46861,271029
184502,271029
260038,271029
658346,271029
819894,271029
82584,290040
66915,290072
69153,290072
79016,290072
165011,290072
170454,290072
185948,290072
295545,290072
329468,290072
397876,290072
411761,290072
594665,290072
642542,290072
815575,290072
927555,290072
33161,302685
83013,302685
94224,302685
128099,302685
329468,302685
414251,302685
622805,302685
677781,302685
766893,302685
814898,302685
59156,303050
81194,303050
128099,303050
276085,303050
486305,303050
532957,303050
762288,303050
82831,308871
317093,308871
403120,308871
82584,309328
197040,309328
287604,309328
343396,309328
960674,309328
46861,316834
55128,316834
81194,316834
108826,316834
118544,316834
164594,316834
212612,316834
238115,316834
290040,316834
315336,316834
317093,316834
479582,316834
524239,316834
769876,316834
792507,316834
813392,316834
821571,316834
894335,316834
55304,329468
82584,329468
147200,329468
213590,329468
636044,329468
894335,329468
82584,343396
287604,343396
317093,343396
532957,343396
960674,343396
64509,354105
82013,354105
90803,354105
128099,354105
144458,354105
766893,354105
33161,361393
58549,361393
92942,361393
101946,361393
107139,361393
108826,361393
128099,361393
129775,361393
130402,361393
135273,361393
139026,361393
140816,361393
187581,361393
242511,361393
270491,361393
295756,361393
302685,361393
316834,361393
354105,361393
390390,361393
533117,361393
607448,361393
622805,361393
624215,361393
752773,361393
754032,361393
756291,361393
766893,361393
798792,361393
824022,361393
887718,361393
936425,361393
46861,378624
79016,384675
108826,384675
184502,384675
418981,384675
487535,384675
594665,384675
778344,384675
806991,384675
821571,384675
927555,384675
934069,384675
33161,390390
128099,390390
144458,390390
303050,390390
351842,390390
354105,390390
569685,390390
622805,390390
766893,390390
46861,414251
81194,414251
118544,414251
137494,414251
138837,414251
164594,414251
238115,414251
239638,414251
242473,414251
343396,414251
806542,414251
806877,414251
824022,414251
33161,423829
128099,423829
29884,467203
33161,467203
43714,467203
46861,467203
74452,467203
108826,467203
128099,467203
139933,467203
165011,467203
316834,467203
378624,467203
477875,467203
594665,467203
622805,467203
754032,467203
766893,467203
796734,467203
802791,467203
821571,467203
824022,467203
894465,467203
68155,477875
79016,477875
117001,477875
118544,477875
204901,477875
260038,477875
308871,477875
479582,477875
815575,477875
821571,477875
82831,479582
403120,479582
40225,500889
79016,500889
164093,500889
316834,500889
384675,500889
594665,500889
821571,500889
927555,500889
82584,524239
212612,524239
317093,524239
792507,524239
33161,533117
104714,533117
128099,533117
129775,533117
138699,533117
354105,533117
402872,533117
569685,533117
821571,533117
924232,533117
68155,568861
69520,568861
82831,568861
403120,568861
756518,568861
763551,568861
75171,569685
80657,569685
103033,569685
108826,569685
118544,569685
147200,569685
164594,569685
170211,569685
238115,569685
524239,569685
811598,569685
821571,569685
894335,569685
17929,572579
59819,572579
79016,572579
164093,572579
165011,572579
204901,572579
260038,572579
271029,572579
290072,572579
368367,572579
411761,572579
487535,572579
500889,572579
542976,572579
594665,572579
607448,572579
755570,572579
802302,572579
806507,572579
821571,572579
927555,572579
55304,578141
82013,578141
108826,578141
128099,578141
147200,578141
162820,578141
164594,578141
165011,578141
238115,578141
329468,578141
479582,578141
766893,578141
821571,578141
893719,578141
894335,578141
79016,594665
118544,594665
139933,594665
164093,594665
184502,594665
238115,594665
569685,594665
806542,594665
815575,594665
821571,594665
894335,594665
46861,597309
66228,597309
128099,597309
238115,597309
664194,597309
762288,597309
806542,597309
806877,597309
894465,597309
921002,597309
13511,607448
46861,607448
108826,607448
118544,607448
128099,607448
162820,607448
164594,607448
168958,607448
210323,607448
238115,607448
269972,607448
280445,607448
282709,607448
303050,607448
309328,607448
316834,607448
414251,607448
524239,607448
569685,607448
578744,607448
668448,607448
677781,607448
769876,607448
805208,607448
821571,607448
838195,607448
927555,607448
2993710,607448
31067,622805
46861,622805
66915,622805
90803,622805
108826,622805
128099,622805
139933,622805
159791,622805
238115,622805
817000,622805
824599,622805
17748,661524
40225,661524
118289,661524
164093,661524
165011,661524
182360,661524
273531,661524
290072,661524
302685,661524
308871,661524
384675,661524
500889,661524
594665,661524
772526,661524
855531,661524
927555,661524
46861,668448
31067,677781
46861,677781
108826,677781
128099,677781
238115,677781
343396,677781
774956,677781
824022,677781
827250,677781
960674,677781
3829,752773
35021,754032
90803,754032
117001,754032
135024,754032
137494,754032
269972,754032
376608,754032
