id,name,D
754032,The Beatles,12822.59375
66915,Bob Dylan,10251.60938
120521,Chuck Berry,9925.015625
549797,Hank Williams,7974.5
824022,Little Richard,7784.484375
894465,The Rolling Stones,7605.234375
180228,Elvis Presley,7468.828125
128099,James Brown,7142.359375
608701,Muddy Waters,7139.640625
46861,Ray Charles,6346.0625
287604,Louis Jordan,5745.796875
238115,Sam Cooke,5651.015625
276085,Howlin' Wolf,5612.5
354105,Jimi Hendrix,5470.453125
577531,Woody Guthrie,5353.09375
55128,Bo Diddley,5154.6875
848784,Roy Acuff,5039.40625
538677,Buddy Holly,4945.9375
343396,Roy Brown,4799.875
100160,The Kinks,4798.625
821571,Smokey Robinson,4569.046875
108826,Jackie Wilson,4474.5625
79016,Billie Holiday,4415.78125
317093,Nat King Cole,4346.046875
3829,T-Bone Walker,4333.1875
577627,The Who,4315
840402,The Velvet Underground,4248.4375
76881,Jimmy Reed,4213.953125
200775,Ernest Tubb,4094.75
815039,John Lee Hooker,4018.75
959770,Willie Dixon,3972.96875
489303,The Yardbirds,3806.09375
269972,Little Willie John,3753.59375
176936,Elmore James,3713.859375
662800,Hank Snow,3665.484375
82584,Billy Eckstine,3428.578125
74970,Bob Wills,3267.828125
423829,Miles Davis,3220.578125
332141,Jerry Lee Lewis,3198.796875
960674,Wynonie Harris,3146.671875
46699,The Everly Brothers,3034.265625
894335,The Platters,2992.109375
81083,Bill Monroe,2877.953125
41874,The Beach Boys,2844.90625
753094,Son House,2834.171875
137494,Fats Domino,2818.265625
562304,The Stooges,2785.078125
118544,The Drifters,2776.640625
266160,Pete Seeger,2772.875
631774,The Byrds,2744.046875
531986,David Bowie,2734.734375
403120,The Mills Brothers,2719.046875
259529,Lester Young,2710.71875
112462,Cream,2675.078125
162677,Dizzy Gillespie,2674.453125
532957,Cab Calloway,2671.375
184502,Ella Fitzgerald,2596.8125
766893,The Isley Brothers,2591.546875
792953,Carl Perkins,2590.125
190946,Lefty Frizzell,2555.59375
816890,Johnny Cash,2477.578125
496405,The Shadows,2454.296875
316834,Marvin Gaye,2451.078125
309328,Percy Mayfield,2417.421875
414251,Otis Redding,2408.375
418740,Sex Pistols,2397.828125
793988,Eddie Cochran,2384.53125
239961,Johnny Kidd & the Pirates,2346.59375
346336,Pink Floyd,2328.140625
175553,John Coltrane,2276.875
28166,Slim Harpo,2236.359375
404463,Ravi Shankar,2219.609375
942529,Buddy Guy,2148.734375
139026,Led Zeppelin,2066.515625
211758,Charlie Parker,2062.328125
824599,Little Walter,2025.5625
33161,Sly & the Family Stone,2021.40625
792507,Frank Sinatra,2009.453125
941579,Buck Owens,2009.3125
825208,Lightnin' Hopkins,1990.78125
852007,Roy Orbison,1967.484375
803720,Gene Vincent,1957.921875
38490,The Band,1940.03125
490416,Thelonious Monk,1928.96875
59156,B.B. King,1898.09375
479582,The Moonglows,1886.25
805930,Charlie Christian,1866.1875
303050,Rufus Thomas,1863.9375
763301,The Fugs,1841.578125
31067,Solomon Burke,1812.8125
174557,Carole King,1798.96875
60679,Big Joe Williams,1773.859375
90803,King Curtis,1726.875
898331,Mississippi Fred McDowell,1721.203125
82831,The Ink Spots,1716.453125
170690,Erskine Hawkins,1693.328125
748773,Amos Milburn,1623.625
477875,The Supremes,1623.328125
204901,Sarah Vaughan,1616.1875
238495,John Mayall,1608.34375
927555,Aretha Franklin,1604.25
13511,Sister Rosetta Tharpe,1600
418981,The Shirelles,1595.796875
114342,The Doors,1590.28125
164594,Ben E. King,1568.40625
75825,The Coasters,1566.484375
182598,MC5,1565.59375
104714,Kraftwerk,1557.15625
617844,Albert King,1516.40625
806542,Etta James,1510.046875
82013,The Impressions,1506.6875
81194,"Bobby ""Blue"" Bland",1492.984375
762288,Big Mama Thornton,1490.640625
617196,Brian Eno,1489.53125
260038,Dinah Washington,1475.015625
2993710,Don Covay,1473.890625
490004,Ramones,1470.984375
796950,Elizabeth Cotten,1461.75
75171,The Clovers,1433.71875
94205,Chet Atkins,1426.75
894956,Otis Rush,1421.34375
806877,Ruth Brown,1420.984375
144458,Curtis Mayfield,1419.203125
342768,Roscoe Holcomb,1416.6875
528221,Dave Van Ronk,1403.0625
569685,The Temptations,1395.921875
49806,Blind Boy Fuller,1382.75
622805,Stevie Wonder,1367.3125
888730,Odetta,1357.84375
771438,Black Sabbath,1340.203125
138699,Frank Zappa,1337.28125
147200,The Dells,1326.21875
391398,Ramblin' Jack Elliott,1322.3125
486305,Junior Parker,1322.125
409954,Ray Price,1319.125
376608,The Marvelettes,1317.140625
198901,Webb Pierce,1303.78125
279141,Ritchie Valens,1295.359375
115733,J.B. Lenoir,1294.578125
64509,Bobby Womack,1293.21875
380704,Red Foley,1291.84375
815575,Lena Horne,1289.484375
45057,The Louvin Brothers,1283.0625
139933,Frankie Lymon,1282.21875
121590,Jacques Brel,1274.625
668448,James Cleveland,1270.578125
75747,The Clash,1268.296875
489676,The Pretty Things,1265.140625
924232,Sun Ra,1253.296875
866786,New York Dolls,1243.5
927627,Mose Allison,1241.25
852855,Roxy Music,1232.25
154533,Ewan MacColl,1226.3125
311674,Vanilla Fudge,1216.4375
750203,Slim Gaillard,1197.015625
55304,The Flamingos,1192.3125
5882,T. Rex,1180.71875
212612,Johnny Hartman,1177.828125
117001,Barrett Strong,1170.671875
677781,Wilson Pickett,1169
664194,Hank Ballard,1168.25
813392,Dean Martin,1146.984375
35021,Smokey Robinson & the Miracles,1143.875
607804,Alan Lomax,1140.3125
410219,Merle Haggard,1133.96875
135024,Larry Williams,1131.234375
169202,Doc Watson,1130.671875
769876,Little Jimmy Scott,1127.84375
814036,Davy Graham,1118.375
170815,Fred Neil,1107.0625
484396,Ornette Coleman,1103.828125
987491,Gram Parsons,1101.109375
594665,Diana Ross,1097.9375
926548,Iggy Pop,1095.5
112540,Cisco Houston,1078.8125
290040,Roy Hamilton,1076.859375
231645,Jean Ritchie,1071.875
102050,The Kingston Trio,1068.03125
642542,Burt Bacharach,1059
751019,The Animals,1056.40625
654490,Guitar Slim,1052.328125
646353,George Russell,1049.046875
193160,The Maddox Brothers & Rose,1048.921875
1006782,Sonny Boy Williamson I,1037.625
346637,Roy Eldridge,1028.609375
165011,Dionne Warwick,1018.09375
813092,John Jacob Niles,1017.46875
817000,Johnny Ace,1007
359199,Billy Strayhorn,1003.140625
769616,Jimmy Rogers,998.359375
491220,The Ronettes,991.234375
171637,Duane Eddy,990.984375
241813,Johnny Burnette,988.796875
92942,Chic,981.796875
29334,Slim Whitman,979.65625
411761,Nina Simone,969.046875
536754,Burl Ives,956.1875
583959,Willie Nelson,950.84375
270491,Joni Mitchell,947.921875
163198,Carl Smith,944.40625
37658,Steve Reich,941.421875
183867,John Cage,938.53125
162820,Gene Chandler,936.4375
379125,Neil Young,935.703125
607448,Al Green,934.34375
950571,Harry James,934.234375
804476,Charles Aznavour,929.703125
192382,Deep Purple,922.90625
524239,Brook Benton,922.6875
756656,Bert Jansch,917.90625
527379,Bukka White,912.09375
5953,Alice Cooper,905.90625
295276,Jimmy Cliff,903.140625
944310,George Jones,901.703125
939567,Buffalo Springfield,883.90625
87985,The Hollies,883.359375
479028,Anita O'Day,881.28125
186734,Freddie King,879.1875
143951,Faron Young,876.9375
423267,Small Faces,868.875
98189,Kitty Wells,861.6875
68155,The Chantels,860.796875
645612,Can,858
74134,Ian & Sylvia,855.5625
947816,Hank Thompson,851.5
69153,Joan Baez,844
577235,The Staple Singers,839.703125
847735,Marlene Dietrich,836.359375
89713,Billy Lee Riley,829.453125
898336,Mississippi Sheiks,820.953125
781094,The Clancy Brothers,818.515625
194703,The Flying Burrito Brothers,817.21875
962064,Junior Wells,807
246022,Merle Travis,805.21875
772526,Irma Thomas,805.203125
577720,The Stanley Brothers,803
240865,Jeff Beck,800.84375
486775,Otis Spann,794.75
749734,Slade,792.828125
353145,Roy Rogers,787.40625
829643,Hubert Sumlin,782.34375
131841,James Cotton,781.171875
314600,Love,780.234375
369270,Professor Longhair,778.765625
934721,Tom Paxton,777.703125
772567,Iron Butterfly,776.53125
198922,Esquerita,770.28125
240311,Link Wray,769.859375
819894,Johnny Otis,769.75
840102,Jefferson Airplane,768.875
282709,Sam & Dave,767.71875
755494,Silver Apples,757.375
796741,Eddy Arnold,743.75
225389,Jay McShann,743
750519,Terry Riley,737.6875
609966,The Highway Q.C.'s,721.734375
265456,Dion,718.734375
307461,Van Morrison,717.1875
333634,Phil Ochs,716.421875
500664,The Seeds,709.359375
611102,Albert Collins,707.125
129775,Parliament,705.46875
328014,Peter Tosh,702.09375
38936,Simon & Garfunkel,697.890625
197040,Champion Jack Dupree,697.765625
578141,The Spinners,692.515625
596126,Mott the Hoople,692.3125
91650,Black Flag,692.109375
172350,Don Byas,687.96875
77698,Bobby Hackett,685.8125
253142,Scott Walker,685.375
772976,Booker T. Jones,683.296875
569914,Moby Grape,681.296875
150062,Earl Hooker,681.03125
345427,Roy Harper,677.671875
309458,Screamin' Jay Hawkins,676.953125
233066,Lou Reed,675.28125
928942,Art Blakey,670.375
636044,The Cadillacs,670.234375
39661,Sonny Terry,666.390625
60306,Harold Arlen,664.53125
483587,The Move,663.875
22928,Steppenwolf,661.15625
159214,Dusty Springfield,657.765625
242511,"Johnny ""Guitar"" Watson",650.34375
418955,The Shangri-Las,649.140625
40225,Gladys Knight,648.09375
14651,Patsy Cline,644.625
796734,Elton John,636.3125
133832,Clark Terry,635.921875
778344,LaVern Baker,633.765625
150629,Ã‰dith Piaf,630.71875
256349,Peggy Lee,627.96875
59537,Blue Cheer,626.640625
94224,Ike & Tina Turner,622.890625
44290,Sonny Stitt,619.8125
200882,Gene Pitney,609.015625
785380,"Lee ""Scratch"" Perry",605.65625
198783,Johnny Horton,602.96875
204708,Dr. Feelgood,600.1875
457807,O.V. Wright,599.921875
31685,Paul Simon,593.953125
127369,Ahmad Jamal,593.34375
239638,Johnny Jenkins,586.28125
630882,Brownie McGhee,585.734375
573870,The Troggs,585
80537,Billy Fury,584.171875
138520,The Damned,583.890625
773642,The Kingsmen,580.953125
84209,Kiss,580.5
395819,Maxine Sullivan,576.53125
425105,The Skatalites,571.1875
551815,Gil Evans,569
51992,Big Star,568.1875
6334,Tony Bennett,567.21875
315336,Perry Como,565.359375
182900,Fleetwood Mac,563.796875
74452,Bobby Day,557.90625
