artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),type
"[""N'Dea Davenport""]",[935117],0.782,0.613,0.634,92.069,-11.451,0,6,0.0985,0.000472,0.084,0.0864,0,243267,42,1993,1/1/1993,When You're Near,Jazz
"[""Paquito D'Rivera""]",[14263],0.553,0.638,0.443,96.092,-8.383,1,10,0.658,0.839,0.141,0.031,0,291457,33,1981,1981,Cómo Fue,Jazz
['Blue Mitchell'],[761064],0.635,0.654,0.755,114.137,-8.914,0,0,0.61,0.35,0.103,0.0291,0,338200,29,1968,12/8/1968,Good Humor Man,Jazz
['Woody Herman'],[958076],0.605,0.133,0.351,92.829,-13.957,1,10,0.97,0.0,0.339,0.0541,0,170200,0,1945,1945,Tallahasee,Jazz
['Woody Herman'],[958076],0.571,0.69,0.872,126.802,-8.245,1,10,0.818,0.372,0.334,0.043,0,195560,2,1945,1945,Apple Honey,Jazz
['Woody Herman'],[958076],0.648,0.365,0.805,93.879,-12.48,1,1,0.873,0.00293,0.196,0.038,0,187067,1,1945,1945,WOODCHOPPER'S BALL,Jazz
['Woody Herman'],[958076],0.3,0.223,0.208,77.397,-12.91,1,7,0.93,1.05e-05,0.147,0.0315,0,205427,1,1945,1945,Happiness Is A Thing ****** Joe,Jazz
['Woody Herman'],[958076],0.627,0.684,0.832,133.927,-9.123,0,5,0.752,1.37e-05,0.185,0.0782,0,180827,2,1945,1945,Caldonia (What Makes Your Big Head So Hard?),Jazz
['Woody Herman'],[958076],0.666,0.293,0.574,115.231,-13.833,0,5,0.261,0.0197,0.035,0.0465,0,258467,14,1962,1/1/1962,Don't Get Around Much Anymore,Jazz
['Woody Herman'],[958076],0.631,0.61,0.847,134.761,-11.42,1,10,0.86,0.000516,0.271,0.0615,0,179267,0,1945,1945,CALDONIA,Jazz
