x,y,xx
4160,381.8467425,4460
4170,381.7984965,4470
4180,381.7494916,4480
4190,381.6997434,4490
4200,381.6492695,4500
4210,381.598089,4510
4220,381.5462227,4520
4230,381.4936925,4530
4240,381.4405215,4540
4250,381.3867341,4550
4260,381.332355,4560
4270,381.2774101,4570
4280,381.2219254,4580
4290,381.1659272,4590
4300,381.1094419,4600
4310,381.0524959,4610
4320,380.995115,4620
4330,380.9373249,4630
4340,380.8791506,4640
4350,380.8206164,4650
4360,380.761746,4660
4370,380.7025621,4670
4380,380.6430865,4680
4390,380.5833401,4690
4400,380.5233427,4700
4410,380.4631132,4710
4420,380.4026694,4720
4430,380.3420281,4730
4440,380.2812052,4740
4450,380.2202153,4750
4460,380.1590725,4760
4470,380.0977897,4770
4480,380.0363788,4780
4490,379.9748511,4790
4500,379.913217,4800
4510,379.8514861,4810
4520,379.7896673,4820
4530,379.7277689,4830
4540,379.6657984,4840
4550,379.6037629,4850
4560,379.5416687,4860
4570,379.4795217,4870
4580,379.4173275,4880
4590,379.355091,4890
4600,379.2928167,4900
4610,379.230509,4910
4620,379.1681715,4920
4630,379.1058079,4930
4640,379.0434214,4940
4650,378.9810148,4950
4660,378.9185909,4960
4670,378.8561522,4970
4680,378.7937009,4980
4690,378.731239,4990
4700,378.6687685,5000
4710,378.6062909,5010
4720,378.543808,5020
4730,378.4813211,5030
4740,378.4188315,5040
4750,378.3563404,5050
4760,378.2938489,5060
4770,378.2313579,5070
4780,378.1688684,5080
4790,378.1063811,5090
4800,378.0438969,5100
4810,377.9814164,5110
4820,377.9189401,5120
4830,377.8564688,5130
4840,377.7940028,5140
4850,377.7315428,5150
4860,377.669089,5160
4870,377.6066418,5170
4880,377.5442017,5180
4890,377.481769,5190
4900,377.4193439,5200
4910,377.3569267,5210
4920,377.2945177,5220
4930,377.232117,5230
4940,377.169725,5240
4950,377.1073417,5250
4960,377.0449673,5260
4970,376.9826021,5270
4980,376.920246,5280
4990,376.8578994,5290
5000,376.7955622,5300
5010,376.7332346,5310
5020,376.6709166,5320
5030,376.6086085,5330
5040,376.5463101,5340
5050,376.4840218,5350
5060,376.4217434,5360
5070,376.359475,5370
5080,376.2972168,5380
5090,376.2349687,5390
5100,376.1727309,5400
5110,376.1105033,5410
5120,376.0482859,5420
5130,375.986079,5430
5140,375.9238824,5440
5150,375.8616961,5450
5160,375.7995203,5460
5170,375.737355,5470
5180,375.6752001,5480
5190,375.6130558,5490
5200,375.5509219,5500
5210,375.4887986,5510
5220,375.4266859,5520
5230,375.3645837,5530
5240,375.3024921,5540
5250,375.2404111,5550
5260,375.1783407,5560
5270,375.1162809,5570
5280,375.0542318,5580
5290,374.9921934,5590
5300,374.9301656,5600
5310,374.8681484,5610
5320,374.806142,5620
5330,374.7441462,5630
5340,374.6821611,5640
5350,374.6201868,5650
5360,374.5582231,5660
5370,374.4962702,5670
5380,374.434328,5680
5390,374.3723965,5690
5400,374.3104758,5700
5410,374.2485658,5710
5420,374.1866665,5720
5430,374.124778,5730
5440,374.0629003,5740
5450,374.0010333,5750
5460,373.9391772,5760
5470,373.8773317,5770
5480,373.8154971,5780
5490,373.7536733,5790
5500,373.6918602,5800
5510,373.6300579,5810
5520,373.5682665,5820
5530,373.5064858,5830
5540,373.444716,5840
5550,373.382957,5850
5560,373.3212087,5860
5570,373.2594713,5870
5580,373.1977448,5880
5590,373.136029,5890
5600,373.0743241,5900
5610,373.0126301,5910
5620,372.9509468,5920
5630,372.8892745,5930
5640,372.8276129,5940
5650,372.7659623,5950
5660,372.7043225,5960
5670,372.6426935,5970
5680,372.5810754,5980
5690,372.5194682,5990
5700,372.4578719,6000
5710,372.3962864,6010
5720,372.3347118,6020
5730,372.2731481,6030
5740,372.2115953,6040
5750,372.1500534,6050
5760,372.0885224,6060
5770,372.0270023,6070
5780,371.9654931,6080
5790,371.9039948,6090
5800,371.8425074,6100
5810,371.7810309,6110
5820,371.7195653,6120
5830,371.6581107,6130
5840,371.596667,6140
5850,371.5352342,6150
5860,371.4738124,6160
5870,371.4124015,6170
5880,371.3510015,6180
5890,371.2896125,6190
5900,371.2282345,6200
5910,371.1668674,6210
5920,371.1055112,6220
5930,371.044166,6230
5940,370.9828318,6240
5950,370.9215086,6250
5960,370.8601963,6260
5970,370.798895,6270
5980,370.7376047,6280
5990,370.6763253,6290
6000,370.615057,6300
6010,370.5537996,6310
6020,370.4912693,6320
6030,370.4260976,6330
6040,370.3582383,6340
6050,370.2876756,6350
6060,370.2144304,6360
6070,370.1385634,6370
6080,370.0601774,6380
6090,369.9794148,6390
6100,369.8964525,6400
6110,369.8114935,6410
6120,369.7247567,6420
6130,369.6364658,6430
6140,369.54684,6440
6150,369.4560858,6450
6160,369.3643911,6460
6170,369.2719228,6470
6180,369.1788253,6480
6190,369.0852213,6490
6200,368.9912131,6500
6210,368.8968855,6510
6220,368.8023073,6520
6230,368.7075345,6530
6240,368.6126118,6540
6250,368.517575,6550
6260,368.4224528,6560
6270,368.3272678,6570
6280,368.2320377,6580
6290,368.1367768,6590
6300,368.0414961,6600
6310,367.9462043,6610
6320,367.8509085,6620
6330,367.7556138,6630
6340,367.6603246,6640
6350,367.5650443,6650
6360,367.4697753,6660
6370,367.3745198,6670
6380,367.2792794,6680
6390,367.1840553,6690
6400,367.0888485,6700
6410,366.9936598,6710
